week,State,death
02/01/2020,United States,0.0
02/08/2020,United States,1.0
02/15/2020,United States,0.0
02/22/2020,United States,4.0
02/29/2020,United States,10.0
03/07/2020,United States,36.0
03/14/2020,United States,56.0
03/21/2020,United States,573.0
03/28/2020,United States,3169.0
04/04/2020,United States,10043.0
04/11/2020,United States,16203.0
04/18/2020,United States,17087.0
04/25/2020,United States,15454.0
05/02/2020,United States,13163.0
05/09/2020,United States,11183.0
05/16/2020,United States,9175.0
05/23/2020,United States,7196.0
05/30/2020,United States,6128.0
06/06/2020,United States,5009.0
06/13/2020,United States,4208.0
06/20/2020,United States,3817.0
06/27/2020,United States,3795.0
07/04/2020,United States,4493.0
07/11/2020,United States,5734.0
07/18/2020,United States,7121.0
07/25/2020,United States,8151.0
08/01/2020,United States,8221.0
08/08/2020,United States,7780.0
08/15/2020,United States,7165.0
08/22/2020,United States,6261.0
08/29/2020,United States,5584.0
09/05/2020,United States,4785.0
09/12/2020,United States,4362.0
09/19/2020,United States,3972.0
09/26/2020,United States,4003.0
10/03/2020,United States,3902.0
10/10/2020,United States,4401.0
10/17/2020,United States,4649.0
10/24/2020,United States,5182.0
10/31/2020,United States,5409.0
11/07/2020,United States,4903.0
11/14/2020,United States,1876.0
02/01/2020,Alabama,0.0
02/08/2020,Alabama,0.0
02/15/2020,Alabama,0.0
02/22/2020,Alabama,0.0
02/29/2020,Alabama,0.0
03/07/2020,Alabama,0.0
03/14/2020,Alabama,0.0
03/28/2020,Alabama,23.0
04/04/2020,Alabama,49.0
04/11/2020,Alabama,81.0
04/18/2020,Alabama,89.0
04/25/2020,Alabama,83.0
05/02/2020,Alabama,81.0
05/09/2020,Alabama,115.0
05/16/2020,Alabama,94.0
05/23/2020,Alabama,79.0
05/30/2020,Alabama,103.0
06/06/2020,Alabama,90.0
06/13/2020,Alabama,81.0
06/20/2020,Alabama,88.0
06/27/2020,Alabama,102.0
07/04/2020,Alabama,119.0
07/11/2020,Alabama,133.0
07/18/2020,Alabama,191.0
07/25/2020,Alabama,247.0
08/01/2020,Alabama,261.0
08/08/2020,Alabama,261.0
08/15/2020,Alabama,228.0
08/22/2020,Alabama,206.0
08/29/2020,Alabama,181.0
09/05/2020,Alabama,153.0
09/12/2020,Alabama,136.0
09/19/2020,Alabama,136.0
09/26/2020,Alabama,103.0
10/03/2020,Alabama,106.0
10/10/2020,Alabama,127.0
10/17/2020,Alabama,113.0
10/24/2020,Alabama,105.0
10/31/2020,Alabama,113.0
11/07/2020,Alabama,100.0
11/14/2020,Alabama,62.0
02/01/2020,Alaska,0.0
02/08/2020,Alaska,0.0
02/15/2020,Alaska,0.0
02/22/2020,Alaska,0.0
02/29/2020,Alaska,0.0
03/07/2020,Alaska,0.0
03/14/2020,Alaska,0.0
03/21/2020,Alaska,0.0
04/25/2020,Alaska,0.0
05/02/2020,Alaska,0.0
05/16/2020,Alaska,0.0
05/23/2020,Alaska,0.0
05/30/2020,Alaska,0.0
06/06/2020,Alaska,0.0
06/20/2020,Alaska,0.0
06/27/2020,Alaska,0.0
11/07/2020,Alaska,0.0
02/01/2020,Arizona,0.0
02/08/2020,Arizona,0.0
02/15/2020,Arizona,0.0
02/22/2020,Arizona,0.0
02/29/2020,Arizona,0.0
03/07/2020,Arizona,0.0
03/14/2020,Arizona,0.0
03/28/2020,Arizona,31.0
04/04/2020,Arizona,58.0
04/11/2020,Arizona,91.0
04/18/2020,Arizona,96.0
04/25/2020,Arizona,106.0
05/02/2020,Arizona,104.0
05/09/2020,Arizona,127.0
05/16/2020,Arizona,118.0
05/23/2020,Arizona,98.0
05/30/2020,Arizona,114.0
06/06/2020,Arizona,132.0
06/13/2020,Arizona,172.0
06/20/2020,Arizona,207.0
06/27/2020,Arizona,256.0
07/04/2020,Arizona,384.0
07/11/2020,Arizona,501.0
07/18/2020,Arizona,543.0
07/25/2020,Arizona,471.0
08/01/2020,Arizona,388.0
08/08/2020,Arizona,305.0
08/15/2020,Arizona,249.0
08/22/2020,Arizona,172.0
08/29/2020,Arizona,126.0
09/05/2020,Arizona,92.0
09/12/2020,Arizona,60.0
09/19/2020,Arizona,65.0
09/26/2020,Arizona,56.0
10/03/2020,Arizona,35.0
10/10/2020,Arizona,51.0
10/17/2020,Arizona,42.0
10/24/2020,Arizona,62.0
10/31/2020,Arizona,80.0
11/07/2020,Arizona,101.0
11/14/2020,Arizona,42.0
02/01/2020,Arkansas,0.0
02/08/2020,Arkansas,0.0
02/15/2020,Arkansas,0.0
02/22/2020,Arkansas,0.0
02/29/2020,Arkansas,0.0
03/07/2020,Arkansas,0.0
03/14/2020,Arkansas,0.0
03/21/2020,Arkansas,0.0
04/04/2020,Arkansas,11.0
04/11/2020,Arkansas,14.0
04/18/2020,Arkansas,12.0
04/25/2020,Arkansas,14.0
05/02/2020,Arkansas,22.0
05/09/2020,Arkansas,24.0
05/23/2020,Arkansas,20.0
05/30/2020,Arkansas,19.0
06/06/2020,Arkansas,26.0
06/13/2020,Arkansas,34.0
06/20/2020,Arkansas,45.0
06/27/2020,Arkansas,47.0
07/04/2020,Arkansas,40.0
07/11/2020,Arkansas,47.0
07/18/2020,Arkansas,57.0
07/25/2020,Arkansas,73.0
08/01/2020,Arkansas,86.0
08/08/2020,Arkansas,90.0
08/15/2020,Arkansas,89.0
08/22/2020,Arkansas,99.0
08/29/2020,Arkansas,95.0
09/05/2020,Arkansas,88.0
09/12/2020,Arkansas,103.0
09/19/2020,Arkansas,81.0
09/26/2020,Arkansas,93.0
10/03/2020,Arkansas,114.0
10/10/2020,Arkansas,139.0
10/17/2020,Arkansas,138.0
10/24/2020,Arkansas,141.0
10/31/2020,Arkansas,131.0
11/07/2020,Arkansas,106.0
11/14/2020,Arkansas,61.0
02/01/2020,California,0.0
02/15/2020,California,0.0
02/29/2020,California,0.0
03/21/2020,California,44.0
03/28/2020,California,131.0
04/04/2020,California,289.0
04/11/2020,California,381.0
04/18/2020,California,535.0
04/25/2020,California,528.0
05/02/2020,California,544.0
05/09/2020,California,550.0
05/16/2020,California,500.0
05/23/2020,California,486.0
05/30/2020,California,463.0
06/06/2020,California,445.0
06/13/2020,California,444.0
06/20/2020,California,456.0
06/27/2020,California,491.0
07/04/2020,California,634.0
07/11/2020,California,737.0
07/18/2020,California,881.0
07/25/2020,California,1000.0
08/01/2020,California,1002.0
08/08/2020,California,985.0
08/15/2020,California,872.0
08/22/2020,California,822.0
08/29/2020,California,720.0
09/05/2020,California,604.0
09/12/2020,California,520.0
09/19/2020,California,473.0
09/26/2020,California,446.0
10/03/2020,California,333.0
10/10/2020,California,365.0
10/17/2020,California,285.0
10/24/2020,California,281.0
10/31/2020,California,265.0
11/07/2020,California,164.0
11/14/2020,California,65.0
02/01/2020,Colorado,0.0
02/08/2020,Colorado,0.0
02/15/2020,Colorado,0.0
02/22/2020,Colorado,0.0
03/07/2020,Colorado,0.0
03/21/2020,Colorado,16.0
03/28/2020,Colorado,46.0
04/04/2020,Colorado,129.0
04/11/2020,Colorado,214.0
04/18/2020,Colorado,218.0
04/25/2020,Colorado,224.0
05/02/2020,Colorado,188.0
05/09/2020,Colorado,139.0
05/16/2020,Colorado,97.0
05/23/2020,Colorado,93.0
05/30/2020,Colorado,75.0
06/06/2020,Colorado,63.0
06/13/2020,Colorado,59.0
06/20/2020,Colorado,38.0
06/27/2020,Colorado,22.0
07/04/2020,Colorado,25.0
07/11/2020,Colorado,29.0
07/18/2020,Colorado,43.0
07/25/2020,Colorado,33.0
08/01/2020,Colorado,36.0
08/08/2020,Colorado,39.0
08/15/2020,Colorado,28.0
08/22/2020,Colorado,19.0
08/29/2020,Colorado,29.0
09/05/2020,Colorado,20.0
09/12/2020,Colorado,33.0
09/19/2020,Colorado,21.0
09/26/2020,Colorado,25.0
10/03/2020,Colorado,33.0
10/10/2020,Colorado,38.0
10/17/2020,Colorado,41.0
10/24/2020,Colorado,60.0
10/31/2020,Colorado,80.0
11/07/2020,Colorado,76.0
11/14/2020,Colorado,23.0
02/01/2020,Connecticut,0.0
02/08/2020,Connecticut,0.0
02/15/2020,Connecticut,0.0
02/22/2020,Connecticut,0.0
02/29/2020,Connecticut,0.0
03/07/2020,Connecticut,0.0
03/14/2020,Connecticut,0.0
03/21/2020,Connecticut,11.0
03/28/2020,Connecticut,48.0
04/04/2020,Connecticut,212.0
04/11/2020,Connecticut,512.0
04/18/2020,Connecticut,676.0
04/25/2020,Connecticut,673.0
05/02/2020,Connecticut,571.0
05/09/2020,Connecticut,467.0
05/16/2020,Connecticut,382.0
05/23/2020,Connecticut,284.0
05/30/2020,Connecticut,209.0
06/06/2020,Connecticut,118.0
06/13/2020,Connecticut,86.0
06/20/2020,Connecticut,45.0
06/27/2020,Connecticut,43.0
07/04/2020,Connecticut,23.0
07/11/2020,Connecticut,25.0
07/18/2020,Connecticut,16.0
07/25/2020,Connecticut,15.0
08/01/2020,Connecticut,10.0
09/19/2020,Connecticut,12.0
10/03/2020,Connecticut,16.0
10/10/2020,Connecticut,13.0
10/17/2020,Connecticut,23.0
10/24/2020,Connecticut,13.0
10/31/2020,Connecticut,11.0
11/07/2020,Connecticut,0.0
11/14/2020,Connecticut,0.0
02/01/2020,Delaware,0.0
02/08/2020,Delaware,0.0
02/15/2020,Delaware,0.0
02/22/2020,Delaware,0.0
02/29/2020,Delaware,0.0
03/07/2020,Delaware,0.0
03/14/2020,Delaware,0.0
03/21/2020,Delaware,0.0
04/11/2020,Delaware,24.0
04/18/2020,Delaware,40.0
04/25/2020,Delaware,64.0
05/02/2020,Delaware,74.0
05/09/2020,Delaware,64.0
05/16/2020,Delaware,75.0
05/23/2020,Delaware,49.0
05/30/2020,Delaware,49.0
06/06/2020,Delaware,23.0
06/13/2020,Delaware,20.0
10/03/2020,Delaware,12.0
10/24/2020,Delaware,13.0
10/31/2020,Delaware,13.0
11/14/2020,Delaware,0.0
02/01/2020,District of Columbia,0.0
02/08/2020,District of Columbia,0.0
02/15/2020,District of Columbia,0.0
02/22/2020,District of Columbia,0.0
02/29/2020,District of Columbia,0.0
03/07/2020,District of Columbia,0.0
03/14/2020,District of Columbia,0.0
04/04/2020,District of Columbia,25.0
04/11/2020,District of Columbia,37.0
04/18/2020,District of Columbia,59.0
04/25/2020,District of Columbia,90.0
05/02/2020,District of Columbia,75.0
05/09/2020,District of Columbia,86.0
05/16/2020,District of Columbia,71.0
05/23/2020,District of Columbia,49.0
05/30/2020,District of Columbia,42.0
06/06/2020,District of Columbia,38.0
06/13/2020,District of Columbia,30.0
06/20/2020,District of Columbia,28.0
06/27/2020,District of Columbia,19.0
07/04/2020,District of Columbia,16.0
07/18/2020,District of Columbia,13.0
08/01/2020,District of Columbia,10.0
08/22/2020,District of Columbia,11.0
10/03/2020,District of Columbia,10.0
10/10/2020,District of Columbia,12.0
02/01/2020,Florida,0.0
02/08/2020,Florida,0.0
02/15/2020,Florida,0.0
02/22/2020,Florida,0.0
02/29/2020,Florida,0.0
03/21/2020,Florida,17.0
03/28/2020,Florida,92.0
04/04/2020,Florida,219.0
04/11/2020,Florida,303.0
04/18/2020,Florida,310.0
04/25/2020,Florida,325.0
05/02/2020,Florida,308.0
05/09/2020,Florida,290.0
05/16/2020,Florida,257.0
05/23/2020,Florida,236.0
05/30/2020,Florida,230.0
06/06/2020,Florida,222.0
06/13/2020,Florida,193.0
06/20/2020,Florida,220.0
06/27/2020,Florida,322.0
07/04/2020,Florida,466.0
07/11/2020,Florida,782.0
07/18/2020,Florida,1180.0
07/25/2020,Florida,1414.0
08/01/2020,Florida,1514.0
08/08/2020,Florida,1399.0
08/15/2020,Florida,1180.0
08/22/2020,Florida,950.0
08/29/2020,Florida,802.0
09/05/2020,Florida,653.0
09/12/2020,Florida,518.0
09/19/2020,Florida,430.0
09/26/2020,Florida,416.0
10/03/2020,Florida,313.0
10/10/2020,Florida,329.0
10/17/2020,Florida,327.0
10/24/2020,Florida,283.0
10/31/2020,Florida,287.0
11/07/2020,Florida,212.0
11/14/2020,Florida,81.0
02/01/2020,Georgia,0.0
02/08/2020,Georgia,0.0
02/15/2020,Georgia,0.0
02/22/2020,Georgia,0.0
02/29/2020,Georgia,0.0
03/21/2020,Georgia,41.0
03/28/2020,Georgia,98.0
04/04/2020,Georgia,218.0
04/11/2020,Georgia,216.0
04/18/2020,Georgia,265.0
04/25/2020,Georgia,258.0
05/02/2020,Georgia,271.0
05/09/2020,Georgia,207.0
05/16/2020,Georgia,195.0
05/23/2020,Georgia,154.0
05/30/2020,Georgia,141.0
06/06/2020,Georgia,118.0
06/13/2020,Georgia,118.0
06/20/2020,Georgia,94.0
06/27/2020,Georgia,128.0
07/04/2020,Georgia,150.0
07/11/2020,Georgia,219.0
07/18/2020,Georgia,294.0
07/25/2020,Georgia,370.0
08/01/2020,Georgia,408.0
08/08/2020,Georgia,465.0
08/15/2020,Georgia,422.0
08/22/2020,Georgia,403.0
08/29/2020,Georgia,337.0
09/05/2020,Georgia,252.0
09/12/2020,Georgia,254.0
09/19/2020,Georgia,215.0
09/26/2020,Georgia,210.0
10/03/2020,Georgia,155.0
10/10/2020,Georgia,161.0
10/17/2020,Georgia,136.0
10/24/2020,Georgia,155.0
10/31/2020,Georgia,135.0
11/07/2020,Georgia,105.0
11/14/2020,Georgia,33.0
02/01/2020,Hawaii,0.0
02/08/2020,Hawaii,0.0
02/15/2020,Hawaii,0.0
02/22/2020,Hawaii,0.0
02/29/2020,Hawaii,0.0
